id;fee_id;subproduct_id;document_id;name;amount;category;tax;tax_amount;tax_category;status
;Cash Withdrawal;Demand Deposit Account with Future;;placeholder - bancobic;5;;;;;
;Cash Withdrawal;Cool Account (for contracts from 13 for november 2014);;placeholder - bancobic;5;;;;;
;Cash Withdrawal;Demand Deposits Account for Insolvency;;placeholder - bancobic;5;;;;;
;Cash Withdrawal;BIC Account for International Account;;placeholder - bancobic;5;;;;;
;Cash Withdrawal;EuroBic Prime Account with paycheck domiciliation with bonus conditions;;placeholder - bancobic;5;;;;;
;Cash Withdrawal;EuroBic Prime Account with paycheck domiciliation without bonus conditions;;placeholder - bancobic;5;;;;;
;Cash Withdrawal;EuroBic 365 Account with paycheck domiciliation without bonus conditions;;placeholder - bancobic;5;;;;;
;Cash Withdrawal;EuroBic 365 Account with paycheck domiciliation with bonus conditions;;placeholder - bancobic;5;;;;;
;Cash Withdrawal;EuroBic Senior Account without crédit and resources =< 35.000€;;placeholder - bancobic;5;;;;;
;Cash Withdrawal;EuroBic Senior Account with credit and resources > 35000€;;placeholder - bancobic;5;;;;;
;Cash Withdrawal;EuroBic Plus Account (out of market) without maturity credit;;placeholder - bancobic;5;;;;;
;Cash Withdrawal;EuroBic Plus Account (out of market) with maturity credit;;placeholder - bancobic;5;;;;;
;Balance inquery at the counter;Conta à Ordem Financial Assets≤ 2.500,00€;;placeholder - bancobic;5;;;;;
;Balance inquery at the counter;Conta à Ordem Financial Assets> 2.500,00€ e ≤ 5.000,00€;;placeholder - bancobic;5;;;;;
;Balance inquery at the counter;Conta à Ordem Financial Assets> 5.000,00€ e ≤ 15.000,00€;;placeholder - bancobic;5;;;;;
;Balance inquery at the counter;Conta à Ordem Financial Asset Financial Assets> 15.000,00€ e ≤ 50.000,00€;;placeholder - bancobic;5;;;;;
